"Project","ScanDate","DependencyName","DependencyPath","Description","License","Md5","Sha1","Identifiers","CPE","CVE","CWE","Vulnerability","Source","CVSSv2_Severity","CVSSv2_Score","CVSSv2","CVSSv3_BaseSeverity","CVSSv3_BaseScore","CVSSv3","CVSSv4_BaseSeverity","CVSSv4_BaseScore","CVSSv4","CPE Confidence","Evidence Count","VendorProject","Product","Name","DateAdded","ShortDescription","RequiredAction","DueDate","Notes"
com.github.pmonks/lice-comb 2.0.348-SNAPSHOT,"Tue, 14 Apr 2026 05:10:36 GMT",commons-beanutils-1.9.4.jar,/home/runner/.m2/repository/commons-beanutils/commons-beanutils/1.9.4/commons-beanutils-1.9.4.jar,Apache Commons BeanUtils provides an easy-to-use but flexible wrapper around reflection and introspection.,https://www.apache.org/licenses/LICENSE-2.0.txt,07dc532ee316fe1f2f0323e9bd2f8df4,d52b9abcd97f38c81342bb7e7ae1eee9b73cba51,pkg:maven/commons-beanutils/commons-beanutils@1.9.4,cpe:2.3:a:apache:commons_beanutils:1.9.4:*:*:*:*:*:*:*,CVE-2025-48734,"CWE-284 Improper Access Control, NVD-CWE-Other","Improper Access Control vulnerability in Apache Commons.    A special BeanIntrospector class was added in version 1.9.2. This can be used to stop attackers from using the declared class property of Java enum objects to get access to the classloader. However this protection was not enabled by default. PropertyUtilsBean (and consequently BeanUtilsBean) now disallows declared class level property access by default.      Releases 1.11.0 and 2.0.0-M2 address a potential security issue when accessing enum properties in an uncontrolled way. If an application using Commons BeanUtils passes property paths from an external source directly to the getProperty() method of PropertyUtilsBean, an attacker can access the enum’s class loader via the “declaredClass” property available on all Java “enum” objects. Accessing the enum’s “declaredClass” allows remote attackers to access the ClassLoader and execute arbitrary code. The same issue exists with PropertyUtilsBean.getNestedProperty(). Starting in versions 1.11.0 and 2.0.0-M2 a special BeanIntrospector suppresses the “declaredClass” property. Note that this new BeanIntrospector is enabled by default, but you can disable it to regain the old behavior; see section 2.5 of the user's guide and the unit tests.  This issue affects Apache Commons BeanUtils 1.x before 1.11.0, and 2.x before 2.0.0-M2.Users of the artifact commons-beanutils:commons-beanutils   1.x are recommended to upgrade to version 1.11.0, which fixes the issue.   Users of the artifact org.apache.commons:commons-beanutils2   2.x are recommended to upgrade to version 2.0.0-M2, which fixes the issue.",NVD,"","","",HIGH,8.8,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H/E:2.8/RC:R/MAV:A,"","","",HIGH,167,"","","","","","","",""
com.github.pmonks/lice-comb 2.0.348-SNAPSHOT,"Tue, 14 Apr 2026 05:10:36 GMT",commons-lang3-3.5.jar,/home/runner/.m2/repository/org/apache/commons/commons-lang3/3.5/commons-lang3-3.5.jar,"Apache Commons Lang, a package of Java utility classes for the   classes that are in java.lang's hierarchy, or are considered to be so   standard as to justify existence in java.lang.",https://www.apache.org/licenses/LICENSE-2.0.txt,780b5a8b72eebe6d0dbff1c11b5658fa,6c6c702c89bfff3cd9e80b04d668c5e190d588c6,pkg:maven/org.apache.commons/commons-lang3@3.5,cpe:2.3:a:apache:commons_lang:3.5:*:*:*:*:*:*:*,CVE-2025-48924,CWE-674 Uncontrolled Recursion,"Uncontrolled Recursion vulnerability in Apache Commons Lang.  This issue affects Apache Commons Lang: Starting with commons-lang:commons-lang 2.0 to 2.6, and, from org.apache.commons:commons-lang3 3.0 before 3.18.0.  The methods ClassUtils.getClass(...) can throw StackOverflowError on very long inputs. Because an Error is usually not handled by applications and libraries, a  StackOverflowError could cause an application to stop.  Users are recommended to upgrade to version 3.18.0, which fixes the issue.",NVD,"","","",MEDIUM,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L/E:3.9/RC:R/MAV:A,"","","",HIGH,138,"","","","","","","",""
